c_id,y_id,i_id,measure
0,0,2,1.55
0,1,2,2.14
0,2,2,2.66
0,3,2,1.68
0,4,2,1.15
0,5,2,1.07
0,6,2,1.168
0,7,2,1.4
0,8,2,1.68571428571429
0,9,2,1.9375
0,10,2,1.87777777777778
0,11,2,1.8076923076923102
0,12,2,1.82380952380952
0,13,2,1.84857142857143
0,14,2,1.65918367346939
0,15,2,2.0419580419580403
0,16,2,3.7812911725955205
0,17,2,4.00860009555662
0,18,2,4.7191440580817705
0,19,2,4.67335625570135
0,20,2,3.09895833333333
0,21,2,3.4653465346534698
0,22,2,2.70455793520044
0,23,2,2.73881278538813
0,24,2,2.16203914428767
0,25,2,2.29971724787936
0,26,2,2.31367874921125
0,27,2,2.2843868799904
0,28,2,2.12493922313663
0,29,2,1.8803655923922298
0,30,2,1.45090921225786
0,31,2,1.50692655529635
0,32,2,1.42122223348777
0,33,2,1.4228029005729301
0,34,2,1.45703853325047
0,35,2,1.47307310721151
0,36,2,1.24122726437626
0,37,2,1.14013911131295
0,38,2,1.13631802186333
0,39,2,1.22035954754993
0,40,2,1.1488226766688698
0,41,2,1.18423354187058
0,42,2,1.09188047859748
0,43,2,1.06089505704838
0,44,2,0.8832953588335289
0,45,2,0.847154783885961
0,46,2,0.7882338774614689
0,47,2,0.792548175031362
0,48,2,0.762756475390461
0,49,2,0.886508576686385
0,50,2,0.814878105497939
0,51,2,0.764287094036749
0,52,2,0.784824721019786
0,53,2,0.8377364301594361
0,54,2,0.878100919364039
0,55,2,0.850128583186764
0,56,2,0.813140077928875
0,57,2,0.8561379163735431
0,58,2,0.8545609792373159
0,10,3,1.4580899477005
0,12,3,1.93620002269745
0,13,3,1.78051996231079
0,14,3,1.92351996898651
0,15,3,1.84360003471375
0,16,3,1.16563999652863
0,17,3,1.71984004974365
0,18,3,1.93554997444153
0,19,3,2.4002799987793
0,20,3,2.60715007781982
0,22,3,1.59786999225616
0,23,3,1.61749994754791
0,24,3,2.56972002983093
0,25,3,1.36186003684998
0,26,3,1.261549949646
0,27,3,1.28229999542236
0,29,3,1.04612004756927
0,30,3,1.06737995147705
0,36,3,3.73198008537292
0,38,3,4.03986978530884
0,39,3,4.52167987823486
0,40,3,4.58031
0,41,3,4.83374
0,42,3,4.01734
0,43,3,3.53505
0,44,3,3.48652
0,45,3,3.86001
0,46,3,4.12821
0,47,3,4.4626
0,48,3,4.84441
0,49,3,5.53105
0,50,3,5.01971
0,51,3,5.29063
0,52,3,5.34583
0,53,3,5.43661
0,54,3,5.36144
